	"bonded"					15	26	["Soothing Melody","Blood-Rite","Dream-Gate","Dream-Gate","Bloodlust","Pendant of the Queen","Guardian of the Crystallizer","The Stars Are Right","Hope","Zeal","Augur","Essence of the Dream","Wish Eater","Unbound Beast","Dream Parasite"]
	"investigator"					194	206	["Roland Banks","Daisy Walker","\"Skids\" O'Toole","Agnes Baker","Wendy Adams","Roland's .38 Special","Cover Up","Daisy's Tote Bag","The Necronomicon","On the Lam","Hospital Debts","Heirloom of Hyperborea","Dark Memory","Wendy's Amulet","Abandoned and Alone","Zoey Samaras","Rex Murphy","Jenny Barnes","Jim Culver","\"Ashcan\" Pete","Zoey's Cross","Smite the Wicked","Search for the Truth","Rex's Curse","Jenny's Twin .45s","Searching for Izzie","Jim's Trumpet","Final Rhapsody","Duke","Wracked by Nightmares","Mark Harrigan","Minh Thi Phan","Sefina Rousseau","Akachi Onyele","William Yorick","Lola Hayes","The Home Front","Shell Shock","Sophie","Analytical Mind","The King in Yellow","The Painted World","Stars of Hyades","Spirit-Speaker","Angered Spirits","Bury Them Deep","Graveyard Ghouls","Improvisation","Crisis of Identity","Leo Anderson","Ursula Downs","Finn Edwards","Father Mateo","Calvin Wright","Mitch Brown","Bought in Blood","Jake Williams","Call of the Unknown","Smuggled Goods","Finn's Trusty .38","Caught Red-Handed","The Codex of Ages","Serpents of Yig","Until the End of Time","Voice of the Messenger","Carolyn Fern","Joe Diamond","Preston Fairmont","Diana Stanley","Rita Young","Marie Lambeau","Hypnotic Therapy","Rational Thought","Detective's Colt 1911s","Unsolved Case","Family Inheritance","Lodge \"Debts\"","Twilight Blade","Dark Insight","Terrible Secret","\"I'm done runnin'!\"","Hoods","Mystifying Song","Baron Samedi","Tommy Muldoon","Mandy Thompson","Tony Morgan","Luke Robinson","Patrice Hathaway","Becky","Rookie Mistake","Occult Evidence","Shocking Discovery","Bounty Contracts","Tony's .38 Long Colt","Tony's Quarry","Gate Box","Detached from Reality","Patrice's Violin","Watcher from Another Dimension","Sister Mary","Amanda Sharpe","Trish Scarborough","Dexter Drake","Silas Marsh","Guardian Angel","Crisis of Faith","Obscure Studies","Whispers from the Deep","In the Shadows","Shadow Agents","Showmanship","Occult Scraps","Sea Change Harpoon","Silas's Net","Siren Call","Daniela Reyes","Mechanic's Wrench","Mob Goons","Norman Withers","Livre d'Eibon","The Harbinger","Monterey Jack","Trusty Bullwhip","Buried Secrets","Lily Chen","Discipline","Discipline","Discipline","Discipline","Burden of Destiny","Bob Jenkins","Shrewd Dealings","Greed","Nathaniel Cho","Randall Cho","Tommy Malloy","Harvey Walters","Vault of Knowledge","Thrice-Damned Curiosity","Winifred Habbamock","Anything You Can Do, Better","Arrogance","Jacqueline Fine","Arbiter of Fates","Dark Future","Stella Clark","Neither Rain nor Snow","Called by the Mists","Daisy Walker","Daisy's Tote Bag","The Necronomicon","\"Skids\" O'Toole","On the Lam","Hospital Debts","Agnes Baker","Heirloom of Hyperborea","Dark Memory","Roland Banks","Directive","Directive","Directive","Directive","Directive","Roland's .38 Special","Cover Up","Wendy Adams","Tidal Memento","Wendy's Amulet","Abandoned and Alone","Jenny Barnes","Green Man Medallion","Sacrificial Beast","Roland Banks","Mysteries Remain","The Dirge of Reason","Norman Withers","Split the Angle","Vengeful Hound","Carolyn Fern","Foolishness","To Fight the Black Wind","Silas Marsh","Nautical Prowess","Dreams of the Deep","Dexter Drake","Molly Maxwell","Yaztaroth","Gloria Goldberg","Ruth Westmacott","Liber Omnium Finium","Marie Lambeau","Mystifying Song","Baron Samedi"]
	"basicweakness"					47	61	["Amnesia","Paranoia","Haunted","Psychosis","Hypochondria","Mob Enforcer","Silver Twilight Acolyte","Stubborn Detective","Amnesia","Paranoia","Haunted","Psychosis","Hypochondria","Indebted","Internal Injury","Chronophobia","Overzealous","Drawing the Sign","The Thing That Follows","Dark Pact","Doomed","The 13th Vision","The Tower • XVI","Self-Centered","Kleptomania","Narcolepsy","Your Worst Nightmare","Accursed Follower","Dread Curse","Day of Reckoning","Arm Injury","Leg Injury","Panic","Stupor","Through the Gates","Unspeakable Oath (Bloodthirst)","Unspeakable Oath (Curiosity)","Unspeakable Oath (Cowardice)","Dendromorphosis","Offer You Cannot Refuse","Damned","The Devil • XV","Self-Destructive","Obsessive","Reckless","Nihilism","Atychiphobia"]
["core"]	"investigator"					15	15	["Roland Banks","Daisy Walker","\"Skids\" O'Toole","Agnes Baker","Wendy Adams","Roland's .38 Special","Cover Up","Daisy's Tote Bag","The Necronomicon","On the Lam","Hospital Debts","Heirloom of Hyperborea","Dark Memory","Wendy's Amulet","Abandoned and Alone"]
["core"]	"basicweakness"					8	10	["Amnesia","Paranoia","Haunted","Psychosis","Hypochondria","Mob Enforcer","Silver Twilight Acolyte","Stubborn Detective"]
["rcore"]	"basicweakness"					5	7	["Amnesia","Paranoia","Haunted","Psychosis","Hypochondria"]
["dwl","tmm","tece","bota","uau","wda","litas"]	"investigator"					15	15	["Zoey Samaras","Rex Murphy","Jenny Barnes","Jim Culver","\"Ashcan\" Pete","Zoey's Cross","Smite the Wicked","Search for the Truth","Rex's Curse","Jenny's Twin .45s","Searching for Izzie","Jim's Trumpet","Final Rhapsody","Duke","Wracked by Nightmares"]
["dwl","tmm","tece","bota","uau","wda","litas"]	"basicweakness"					3	6	["Indebted","Internal Injury","Chronophobia"]
["ptc","eotp","tuo","apot","tpm","bsr","dca"]	"investigator"					19	23	["Mark Harrigan","Minh Thi Phan","Sefina Rousseau","Akachi Onyele","William Yorick","Lola Hayes","The Home Front","Shell Shock","Sophie","Analytical Mind","The King in Yellow","The Painted World","Stars of Hyades","Spirit-Speaker","Angered Spirits","Bury Them Deep","Graveyard Ghouls","Improvisation","Crisis of Identity"]
["ptc","eotp","tuo","apot","tpm","bsr","dca"]	"basicweakness"					3	4	["Overzealous","Drawing the Sign","The Thing That Follows"]
